Code,Common_name,Scientific_name,Range_map,Diana_name
ALFL,Alder Flycatcher,Empidonax alnorum,1,
AMCR,American Crow,Corvus brachyrhynchos,1,
AMGO,American Goldfinch,Spinus tristis,1,
AMPI,American Pipit,Anthus rubescens,1,
AMRE,American Redstart,Setophaga ruticilla,1,
AMRO,American Robin,Turdus migratorius,1,
ATSP,American Tree Sparrow,Passerella arborea,1,Spizella arborea
BAWW,Black-and-white Warbler,Mniotilta varia,1,
BBWA,Bay-breasted Warbler,Setophaga castanea,1,
BCCH,Black-capped Chickadee,Poecile atricapillus,1,
BHCO,Brown-headed Cowbird,Molothrus ater,1,
BHVI,Blue-headed Vireo,Vireo solitarius,1,
BLBW,Blackburnian Warbler,Setophaga fusca,1,
BLJA,Blue Jay,Cyanocitta cristata,1,
BLPW,Blackpoll Warbler,Setophaga striata,1,
BOCH,Boreal Chickadee,Poecile hudsonicus,1,
BRBL,Brewer’s Blackbird,Euphagus cyanocephalus,1,
BRCR,Brown Creeper,Certhia americana,1,
BTNW,Black-throated Green Warbler,Setophaga virens,1,
CAWA,Canada Warbler,Cardellina canadensis,1,
CCSP,Clay-colored Sparrow,Spizella pallida,1,
CEDW,Cedar Waxwing,Bombycilla cedrorum,1,
CHSP,Chipping Sparrow,Spizella passerina,1,
CMWA,Cape May Warbler,Setophaga tigrina,1,
COGR,Common Grackle,Quiscalus quiscula,1,
CONW,Connecticut Warbler,Oporornis agilis,1,
CORA,Common Raven,Corvus corax,1,
CORE,Common Redpoll,Acanthis flammea,1,
COYE,Common Yellowthroat,Geothlypis trichas,1,
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,1,
DEJU,Dark-eyed Junco,Junco hyemalis,1,
EAKI,Eastern Kingbird,Tyrannus tyrannus,1,
EAPH,Eastern Phoebe,Sayornis phoebe,1,
EVGR,Evening Grosbeak,Hesperiphona vespertina,1,Coccothraustes vespertinus
FOSP,Fox Sparrow,Passerella iliaca,1,
GCKI,Golden-crowned Kinglet,Regulus satrapa,1,
GCTH,Gray-cheeked Thrush,Catharus minimus,1,
GRAJ,Gray Jay,Perisoreus canadensis,1,
HETH,Hermit Thrush,Catharus guttatus,1,
HOLA,Horned Lark,Eremophila alpestris,1,
LCSP,Le Conte's Sparrow,Ammospiza leconteii,1,Ammodramus leconteii
LEFL,Least Flycatcher,Empidonax minimus,1,
LISP,Lincoln's Sparrow,Melospiza lincolnii,1,
MAWA,Magnolia Warbler,Setophaga magnolia,1,
MOWA,Mourning Warbler,Geothlypis philadelphia,1,
NAWA,Nashville Warbler,Leiothlypis ruficapilla,1,Oreothlypis ruficapilla
NOWA,Northern Waterthrush,Parkesia noveboracensis,1,
OCWA,Orange-crowned Warbler,Leiothlypis celata,1,Oreothlypis celata
OSFL,Olive-sided Flycatcher,Contopus cooperi,1,
OVEN,Ovenbird,Seiurus aurocapilla,1,
PAWA,Palm Warbler,Setophaga palmarum,1,
PHVI,Philadelphia Vireo,Vireo philadelphicus,1,
PIGR,Pine Grosbeak,Pinicola enucleator,1,
PISI,Pine Siskin,Spinus pinus,1,
PUFI,Purple Finch,Haemorhous purpureus,1,Carpodacus purpureus
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,
RBNU,Red-breasted Nuthatch,Sitta canadensis,1,
RCKI,Ruby-crowned Kinglet,Regulus calendula,1,
REVI,Red-eyed Vireo,Vireo olivaceus,1,
RUBL,Rusty Blackbird,Euphagus carolinus,1,
RWBL,Red-winged Blackbird,Agelaius phoeniceus,1,
SAVS,Savannah Sparrow,Passerculus sandwichensis,1,
SOSP,Song Sparrow,Melospiza melodia,1,
SWSP,Swamp Sparrow,Melospiza georgiana,1,
SWTH,Swainson's Thrush,Catharus ustulatus,1,Catharus ustulatus
TEWA,Tennessee Warbler,Leiothlypis peregrina,1,Oreothlypis peregrina
TRES,Tree Swallow,Tachycineta bicolor,1,
VATH,Varied Thrush,Ixoreus naevius,1,
VESP,Vesper Sparrow,Pooecetes gramineus,1,
WAVI,Warbling Vireo,Vireo gilvus,1,
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,1,
WETA,Western Tanager,Piranga ludoviciana,1,
WEWP,Western Wood-Pewee,Contopus sordidulus,1,
WIWA,Wilson's Warbler,Cardellina pusilla,1,
WIWR,Winter Wren,Troglodytes hiemalis,1,
WTSP,White-throated Sparrow,Zonotrichia albicollis,1,
WWCR,White-winged Crossbill,Loxia leucoptera,1,
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,1,
YRWA,Yellow-rumped Warbler,Setophaga coronata,1,
YWAR,Yellow Warbler,Setophaga petechia,1,
