Code,Common name,Scientific name
ALFL,Alder Flycatcher,Empidonax alnorum
AMCR,American Crow,Corvus brachyrhynchos
AMGO,American Goldfinch,Spinus tristis
AMPI,American Pipit,Anthus rubescens
AMRE,American Redstart,Setophaga ruticilla
AMRO,American Robin,Turdus migratorius
ATSP,American Tree Sparrow,Spizella arborea
BAWW,Black-and-white Warbler,Mniotilta varia
BBWA,Bay-breasted Warbler,Setophaga castanea
BCCH,Black-capped Chickadee,Poecile atricapillus
BHCO,Brown-headed Cowbird,Molothrus ater
BHVI,Blue-headed Vireo,Vireo solitarius
BLBW,Blackburnian Warbler,Setophaga fusca
BLJA,Blue Jay,Cyanocitta cristata
BLPW,Blackpoll Warbler,Setophaga striata
BOCH,Boreal Chickadee,Poecile hudsonicus
BRBL,Brewer’s Blackbird,Euphagus cyanocephalus
BRCR,Brown Creeper,Certhia americana
BTNW,Black-throated Green Warbler,Setophaga virens
CAWA,Canada Warbler,Cardellina canadensis
CCSP,Clay-colored Sparrow,Spizella pallida
CEDW,Cedar Waxwing,Bombycilla cedrorum
CHSP,Chipping Sparrow,Spizella passerina
CMWA,Cape May Warbler,Setophaga tigrina
COGR,Common Grackle,Quiscalus quiscula
CONW,Connecticut Warbler,Oporornis agilis
CORA,Common Raven,Corvus corax
CORE,Common Redpoll,Acanthis flammea
COYE,Common Yellowthroat,Geothlypis trichas
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica
DEJU,Dark-eyed Junco,Junco hyemalis
EABL,Eastern Bluebird,Sialia sialis
EAKI,Eastern Kingbird,Tyrannus tyrannus
EAPH,Eastern Phoebe,Sayornis phoebe
EVGR,Evening Grosbeak,Coccothraustes vespertinus
FOSP,Fox Sparrow,Passerella iliaca
GCFL,Great Crested Flycatcher,Myiarchus crinitus
GCKI,Golden-crowned Kinglet,Regulus satrapa
GCTH,Gray-cheeked Thrush,Catharus minimus
GRAJ,Gray Jay,Perisoreus canadensis
HAFL,Hammond's Flycatcher,Empidonax hammondii
HETH,Hermit Thrush,Catharus guttatus
HOLA,Horned Lark,Eremophila alpestris
HOWR,House Wren,Troglodytes aedon
INBU,Indigo Bunting,Passerina cyanea
LCSP,Le Conte's Sparrow,Ammodramus leconteii
LEFL,Least Flycatcher,Empidonax minimus
LISP,Lincoln's Sparrow,Melospiza lincolnii
MAWA,Magnolia Warbler,Setophaga magnolia
MOWA,Mourning Warbler,Geothlypis philadelphia
NOCA,Northern Cardinal,Cardinalis cardinalis
NAWA,Nashville Warbler,Oreothlypis ruficapilla
NOWA,Northern Waterthrush,Parkesia noveboracensis
OCWA,Orange-crowned Warbler,Oreothlypis celata
OSFL,Olive-sided Flycatcher,Contopus cooperi
OVEN,Ovenbird,Seiurus aurocapilla
PAWA,Palm Warbler,Setophaga palmarum
PHVI,Philadelphia Vireo,Vireo philadelphicus
PIGR,Pine Grosbeak,Pinicola enucleator
PISI,Pine Siskin,Spinus pinus
PIWA,Pine Warbler,Setophaga pinus
PUFI,Purple Finch,Carpodacus purpureus
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus
RBNU,Red-breasted Nuthatch,Sitta canadensis
RCKI,Ruby-crowned Kinglet,Regulus calendula
REVI,Red-eyed Vireo,Vireo olivaceus
RUBL,Red-winged Blackbird,Agelaius phoeniceus
RWBL,Rusty Blackbird,Euphagus carolinus
SAVS,Savannah Sparrow,Passerculus sandwichensis
SCTA,Scarlet Tanager,Piranga olivacea
SEWR,Sedge Wren,Cistothorus platensis
SOSP,Song Sparrow,Melospiza melodia
SWSP,Swamp Sparrow,Melospiza georgiana
SWTH,Swainson's Thrush,Catharus ustulatus
TEWA,Tennessee Warbler,Oreothlypis peregrina
TOWA,Townsend's Warbler,Setophaga townsendi
TRES,Tree Swallow,Tachycineta bicolor
VATH,Varied Thrush,Ixoreus naevius
VEER,Veery,Catharus fuscescens
VESP,Vesper Sparrow,Pooecetes gramineus
WAVI,Warbling Vireo,Vireo gilvus
WCSP,White-crowned Sparrow,Zonotrichia leucophrys
WETA,Western Tanager,Piranga ludoviciana
WEWP,Western Wood-Pewee,Contopus sordidulus
WIWA,Wilson's Warbler,Cardellina pusilla
WIWR,Winter Wren,Troglodytes hiemalis
WOTH,Wood Thrush,Hylocichla mustelina
WTSP,White-throated Sparrow,Zonotrichia albicollis
WWCR,White-winged Crossbill,Loxia leucoptera
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris
YRWA,Yellow-rumped Warbler,Setophaga coronata
YTVI,Yellow-throated Vireo,Vireo flavifrons
YWAR,Yellow Warbler,Setophaga petechia
