ecozone,ecoprovince,ecoregion,area_km2,mdr_km2,intactness,nets_rep,nets_nonrep
4,4.1,51,60678,23713,0.957,68,412
4,4.2,52,108362,2534,0.959,357,145
4,4.2,53,30405,10592,0.875,264,1295
4,4.2,55,42575,1075,0.917,42,260
4,4.2,59,27249,1015,0.995,2416,162
4,4.2,60,44429,7191,0.976,1610,208
4,4.1,62,13607,1909,0.89,76,269
5,5.1,68,136899,841,0.998,233,217
5,5.1,69,119383,8281,0.987,559,979
5,5.1,70,180498,2396,1,2116,129
5,5.1,71,197117,4225,0.996,9271,170
5,5.2,72,124365,8551,0.9,74,223
5,5.2,74,187073,1089,0.948,1831,173
5,5.3,77,71274,1299,0.988,8201,400
5,5.3,78,86308,1369,0.853,6531,372
5,5.3,80,56605,272,0.981,69,419
6A,6.1,87,78046,7838,0.968,121,42
6A,6.1,88,195469,5041,0.95,7445,29
6A,6.1,89,142030,5929,0.935,2163,29
6A,6.2,90,146924,3516,0.861,6666,103
6A,6.2,94,81673,736,0.545,251,4963
6A,6.1,95,110849,2809,0.962,3971,109
6A,6.2,100,91993,3040,0.745,522,924
6A,6.3,103,98512,1003,0.978,9517,78
6A,6.3,104,19583,3240,0.974,26,8
6A,6.3,105,21350,506,0.941,2596,310
6B,6.4,108,16027,111,0.916,26,714
9,9.2,136,51068,10745,0.914,53,99
11,11.1,165,26826,5976,0.993,300,284
11,11.2,166,14651,4236,0.976,21,364
11,11.3,168,39452,3388,0.99,4868,9
11,11.4,170,87067,529,0.996,3747,541
11,11.4,171,72426,2348,0.986,258,676
12,12.4,172,38746,3057,0.919,6002,26
12,12.2,175,26986,1985,0.939,1300,111
12,12.2,176,57428,2401,0.944,153,235
12,12.2,177,35868,3100,0.924,61,83
12,12.2,178,35526,614,0.969,225,458
12,12.3,179,24845,1723,0.976,1467,140
12,12.3,180,105582,569,0.968,962,432
12,12.2,181,34466,4225,0.931,67,1948
12,12.3,183,37830,1495,0.958,52,50
14,14.1,199,35022,145,0.777,14,1665
14,14.1,200,37064,399,0.698,452,10
14,14.4,207,39210,279,0.863,393,181
15,15.1,215,64034,111,0.99,265,2461
15,15.2,216,131100,1432,0.992,0,0
15,15.2,217,176809,2001,0.967,20225,234
