Code,Name,Latin_name,forest,conifer,deciduous,mixedwood,grassland,neo_migrant,short_migrant,nomadic,resident,declining,low_concern
ALFL,Alder Flycatcher,Empidonax alnorum,0,0,1,0,0,1,0,0,0,0,1
AMCR,American Crow,Corvus brachyrhynchos,0,0,1,0,0,0,1,0,0,0,1
AMGO,American Goldfinch,Spinus tristis,0,0,1,0,0,0,1,0,0,0,1
AMPI,American Pipit,Anthus rubescens,0,0,0,0,0,0,0,0,0,0,1
AMRE,American Redstart,Setophaga ruticilla,1,0,1,0,0,1,0,0,0,0,1
AMRO,American Robin,Turdus migratorius,0,0,1,0,0,0,1,0,0,0,1
ATSP,American Tree Sparrow,Spizella arborea,0,1,0,0,0,0,1,0,0,1,0
BAWW,Black-and-white Warbler,Mniotilta varia,1,0,1,0,0,1,0,0,0,0,1
BBWA,Bay-breasted Warbler,Setophaga castanea,1,0,0,1,0,1,0,0,0,0,1
BCCH,Black-capped Chickadee,Poecile atricapillus,1,0,1,0,0,0,0,0,1,0,1
BHCO,Brown-headed Cowbird,Molothrus ater,0,0,1,0,0,0,1,0,0,0,1
BHVI,Blue-headed Vireo,Vireo solitarius,1,0,0,1,0,1,0,0,0,0,1
BLBW,Blackburnian Warbler,Setophaga fusca,1,0,0,1,0,1,0,0,0,0,1
BLJA,Blue Jay,Cyanocitta cristata,1,0,1,0,0,0,1,0,0,0,1
BLPW,Blackpoll Warbler,Setophaga striata,1,1,0,0,0,1,0,0,0,1,0
BOCH,Boreal Chickadee,Poecile hudsonicus,1,1,0,0,0,0,0,0,1,0,1
BRBL,Brewer’s Blackbird,Euphagus cyanocephalus,0,0,0,0,1,0,1,0,0,1,0
BRCR,Brown Creeper,Certhia americana,1,0,0,1,0,0,1,0,0,0,1
BTNW,Black-throated Green Warbler,Setophaga virens,1,0,0,1,0,1,0,0,0,0,1
CAWA,Canada Warbler,Cardellina canadensis,1,0,0,1,0,1,0,0,0,1,0
CCSP,Clay-colored Sparrow,Spizella pallida,0,0,0,0,1,1,0,0,0,0,1
CEDW,Cedar Waxwing,Bombycilla cedrorum,1,0,1,0,0,0,1,0,0,0,1
CHSP,Chipping Sparrow,Spizella passerina,0,0,1,0,0,0,1,0,0,0,1
CMWA,Cape May Warbler,Setophaga tigrina,1,0,0,1,0,1,0,0,0,1,0
COGR,Common Grackle,Quiscalus quiscula,0,0,1,0,0,0,1,0,0,1,0
CONW,Connecticut Warbler,Oporornis agilis,1,0,0,1,0,1,0,0,0,1,0
CORA,Common Raven,Corvus corax,1,0,1,0,0,0,0,0,1,0,1
CORE,Common Redpoll,Acanthis flammea,1,1,0,0,0,0,0,1,0,0,1
COYE,Common Yellowthroat,Geothlypis trichas,0,0,1,0,0,1,0,0,0,0,1
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,0,0,1,0,0,1,0,0,0,0,1
DEJU,Dark-eyed Junco,Junco hyemalis,1,1,0,0,0,0,1,0,0,0,1
EAKI,Eastern Kingbird,Tyrannus tyrannus,0,0,1,0,0,1,0,0,0,0,1
EAPH,Eastern Phoebe,Sayornis phoebe,0,0,1,0,0,0,1,0,0,0,1
EVGR,Evening Grosbeak,Coccothraustes vespertinus,1,0,0,1,0,0,0,1,0,1,0
FOSP,Fox Sparrow,Passerella iliaca,1,1,0,0,0,0,1,0,0,0,1
GCKI,Golden-crowned Kinglet,Regulus satrapa,1,0,0,1,0,0,1,0,0,0,1
GCTH,Gray-cheeked Thrush,Catharus minimus,1,1,0,0,0,1,0,0,0,0,1
GRAJ,Gray Jay,Perisoreus canadensis,1,1,0,0,0,0,0,0,1,0,1
HETH,Hermit Thrush,Catharus guttatus,1,0,0,1,0,0,1,0,0,0,1
HOLA,Horned Lark,Eremophila alpestris,0,0,0,0,1,0,1,0,0,1,0
LCSP,Le Conte's Sparrow,Ammodramus leconteii,0,0,1,0,0,0,1,0,0,1,0
LEFL,Least Flycatcher,Empidonax minimus,1,0,1,0,0,1,0,0,0,1,0
LISP,Lincoln's Sparrow,Melospiza lincolnii,0,1,0,0,0,0,1,0,0,0,1
MAWA,Magnolia Warbler,Setophaga magnolia,1,0,0,1,0,1,0,0,0,0,1
MOWA,Mourning Warbler,Geothlypis philadelphia,1,0,1,0,0,1,0,0,0,0,1
NAWA,Nashville Warbler,Oreothlypis ruficapilla,1,0,0,1,0,1,0,0,0,0,1
NOWA,Northern Waterthrush,Parkesia noveboracensis,1,0,0,1,0,1,0,0,0,0,1
OCWA,Orange-crowned Warbler,Oreothlypis celata,1,1,0,0,0,1,0,0,0,0,1
OSFL,Olive-sided Flycatcher,Contopus cooperi,1,1,0,0,0,1,0,0,0,1,0
OVEN,Ovenbird,Seiurus aurocapilla,1,0,0,1,0,1,0,0,0,0,1
PAWA,Palm Warbler,Setophaga palmarum,1,0,0,1,0,1,0,0,0,0,1
PHVI,Philadelphia Vireo,Vireo philadelphicus,1,0,0,1,0,1,0,0,0,0,1
PIGR,Pine Grosbeak,Pinicola enucleator,1,1,0,0,0,0,0,1,0,0,1
PISI,Pine Siskin,Spinus pinus,1,1,0,0,0,0,0,1,0,1,0
PUFI,Purple Finch,Carpodacus purpureus,1,0,1,0,0,0,1,0,0,0,1
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,0,1,0,0,1,0,0,0,0,1
RBNU,Red-breasted Nuthatch,Sitta canadensis,1,0,0,1,0,0,0,0,1,0,1
RCKI,Ruby-crowned Kinglet,Regulus calendula,1,1,0,0,0,0,1,0,0,0,1
REVI,Red-eyed Vireo,Vireo olivaceus,1,0,1,0,0,1,0,0,0,0,1
RUBL,Rusty Blackbird,Euphagus carolinus,1,1,0,0,0,0,1,0,0,1,0
RWBL,Red-winged Blackbird,Agelaius phoeniceus,0,0,1,0,0,0,1,0,0,0,1
SAVS,Savannah Sparrow,Passerculus sandwichensis,0,0,0,0,1,0,1,0,0,0,1
SOSP,Song Sparrow,Melospiza melodia,0,0,1,0,0,0,1,0,0,0,1
SWSP,Swamp Sparrow,Melospiza georgiana,0,0,1,0,0,0,1,0,0,0,1
SWTH,Swainson's Thrush,Catharus ustulatus,1,1,0,0,0,1,0,0,0,0,1
TEWA,Tennessee Warbler,Oreothlypis peregrina,1,0,0,1,0,1,0,0,0,0,1
TRES,Tree Swallow,Tachycineta bicolor,0,0,1,0,0,0,1,0,0,0,1
VATH,Varied Thrush,Ixoreus naevius,1,1,0,0,0,0,1,0,0,1,0
VESP,Vesper Sparrow,Pooecetes gramineus,0,0,0,0,1,0,1,0,0,0,1
WAVI,Warbling Vireo,Vireo gilvus,0,1,0,0,0,1,0,0,0,0,1
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,0,1,0,0,0,0,1,0,0,0,1
WETA,Western Tanager,Piranga ludoviciana,1,1,0,0,0,1,0,0,0,0,1
WEWP,Western Wood-Pewee,Loxia leucoptera,1,1,0,0,0,1,0,0,0,0,1
WIWA,Wilson's Warbler,Contopus sordidulus,1,1,0,0,0,1,0,0,0,1,0
WIWR,Winter Wren,Cardellina pusilla,1,0,0,1,0,0,1,0,0,0,1
WTSP,White-throated Sparrow,Troglodytes hiemalis,1,0,0,1,0,0,1,0,0,0,1
WWCR,White-winged Crossbill,Zonotrichia albicollis,1,1,0,0,0,0,0,1,0,0,1
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,0,0,0,1,0,1,0,0,0,0,1
YRWA,Yellow-rumped Warbler,Setophaga coronata,1,0,0,1,0,0,1,0,0,0,1
YWAR,Yellow Warbler,Setophaga petechia,1,0,1,0,0,1,0,0,0,0,1
