area_km2,ecoregion,ecoprovince,ecozone,mdr1,mdr2
91993,100,6.2,6A,3040,3040
208965,101,6.3,6A,2601,2601
98512,103,6.3,6A,1252,1003
21350,105,6.3,6A,528,506
51068,136,9.2,9,10745,10745
45485,137,9.1,9,2599,2495
70011,138,9.2,9,961,733
202149,139,9.2,9,10959,10201
51636,142,9.2,9,7857,7857
11723,143,9.2,9,5484,5428
74189,145,9.1,9,1790,1790
92016,148,9.3,9,5411,3502
100897,149,9.2,9,1369,704
39907,155,9.3,9,289,265
2220,156,10.2,10,0,0
26826,165,11.1,11,6915,5976
14651,166,11.2,11,4404,4236
6009,167,11.2,11,0,0
39452,168,11.3,11,3530,3388
20540,169,11.3,11,12199,10762
87067,170,11.4,11,609,529
72426,171,11.4,11,2577,2348
38746,172,12.4,12,3410,3057
22867,174,12.2,12,6369,6166
26986,175,12.2,12,2117,1985
57428,176,12.2,12,2401,2401
35868,177,12.2,12,3716,3100
35526,178,12.2,12,926,614
24845,179,12.3,12,1723,1723
105582,180,12.3,12,814,569
34466,181,12.2,12,5107,4225
26076,182,12.2,12,2521,2398
37830,183,12.3,12,1495,1495
35022,199,14.1,14,671,145
37064,200,14.1,14,441,399
39210,207,14.4,14,412,279
64034,215,15.1,15,320,111
131100,216,15.2,15,1681,1432
176809,217,15.2,15,2401,2001
60678,51,4.1,4,32575,23713
108362,52,4.2,4,4214,2534
30405,53,4.2,4,10592,10592
20323,54,4.2,4,729,586
42575,55,4.2,4,1193,1075
16240,56,4.2,4,5090,4902
6702,58,4.2,4,4642,4241
27249,59,4.2,4,1225,1015
44429,60,4.2,4,9286,7191
12274,61,4.1,4,565,565
13607,62,4.1,4,2086,1909
24865,63,4.2,4,26889,25160
131063,64,4.3,4,19628,18431
75841,65,4.3,4,11205,4569
24106,66,4.3,4,2118,948
136899,68,5.1,5,1380,841
119383,69,5.1,5,8804,8281
180498,70,5.1,5,23071,2396
197117,71,5.1,5,4225,4225
124365,72,5.2,5,10201,8551
187073,74,5.2,5,1225,1089
71274,77,5.3,5,1299,1299
86308,78,5.3,5,1471,1369
56605,80,5.3,5,1616,272
78046,87,6.1,6A,14081,7838
195469,88,6.1,6A,5041,5041
142030,89,6.1,6A,6239,5929
146924,90,6.2,6A,3721,3516
45124,91,6.5,6A,4200,3537
25406,93,6.5,6A,776,776
81673,94,6.2,6A,736,736
110849,95,6.1,6A,3025,2809
177572,96,6.2,6A,1657,1657
83564,97,6.6,6A,400,276
167401,99,6.6,6A,3481,3481
19583,104,6.3,6A,3240,3240
2386,106,6.4,6B,0,0
7960,107,6.4,6B,445,445
16027,108,6.4,6B,111,111
10563,109,6.4,6B,1096,1096
29777,112,6.4,6B,1522,1522
4807,113,6.4,6B,391,391
34613,114,6.4,6B,2106,2106
485,115,6.4,6B,169,169
2003,116,6.4,6B,0,0
24515,173,12.1,12,0,0
9063,50,4.2,4,0,0
9993,57,4.2,4,0,0
82724,73,5.2,5,0,0
89378,75,5.4,5,0,0
23207,76,5.4,5,0,0
10820,79,5.3,5,0,0
13522,82,5.3,5,0,0
3176,84,5.3,5,0,0
5220,85,5.3,5,0,0
