species,n_eco,cmi,gpp,led,lcc,r2,rmse
allbirds,48,0.12 (-0.79-1.09),0.23 (-1.26-1.51),0.06 (-2.58-2.44),0.21 (-1.46-1.76),0.41 (0.02-0.89),0.08 (0.04-0.14)
forestbirds,48,0.10 (-1.02-0.65),0.33 (-0.89-2.04),0.05 (-1.72-2.67),0.19 (-1.26-1.36),0.44 (-0.00-0.90),0.09 (0.04-0.14)
allwaterfowl,48,0.09 (-0.51-0.77),0.10 (-0.95-1.56),0.29 (-0.46-1.64),0.11 (-0.94-1.30),0.39 (0.01-0.96),0.08 (0.02-0.16)
cavitynesters,48,0.08 (-0.47-0.67),-0.05 (-1.26-0.59),0.29 (-1.21-1.33),0.30 (-0.58-1.72),0.43 (0.02-0.88),0.07 (0.03-0.15)
groundnesters,48,0.10 (-0.61-0.69),0.21 (-0.78-1.67),0.16 (-0.70-1.84),0.10 (-0.84-1.80),0.37 (0.01-0.96),0.09 (0.03-0.15)
overwaternesters,48,0.16 (-0.41-0.96),0.13 (-1.40-1.02),0.17 (-0.88-1.40),0.06 (-0.90-1.73),0.39 (0.00-0.97),0.08 (0.02-0.14)
blbw,6,0.45 (0.20-0.95),0.53 (-0.01-1.04),-0.03 (-0.37-0.10),-0.08 (-1.63-0.61),0.66 (0.19-0.92),0.06 (0.04-0.09)
boch,48,0.19 (-0.68-1.00),0.25 (-0.85-1.78),0.09 (-0.88-2.31),0.23 (-0.67-1.03),0.47 (0.03-0.89),0.09 (0.03-0.14)
brcr,20,0.21 (-0.27-0.84),0.34 (-0.69-1.58),0.09 (-0.34-0.87),0.20 (-0.40-1.35),0.45 (0.02-0.78),0.08 (0.06-0.12)
btnw,16,0.28 (-0.37-0.92),0.57 (-0.15-1.43),-0.06 (-0.94-0.99),0.08 (-1.03-1.09),0.58 (0.23-0.95),0.07 (0.04-0.11)
cawa,10,0.27 (0.11-0.43),0.49 (-0.26-1.03),0.10 (-0.42-0.56),0.04 (-1.24-0.94),0.57 (0.24-0.98),0.07 (0.02-0.12)
cmwa,15,0.22 (-0.20-0.93),0.36 (-0.47-1.31),0.12 (-0.26-0.66),0.22 (-0.27-1.36),0.52 (0.02-0.91),0.08 (0.05-0.13)
osfl,39,0.22 (-0.53-1.11),0.20 (-2.57-1.30),0.09 (-0.88-1.59),0.05 (-1.29-0.78),0.38 (0.01-0.95),0.08 (0.03-0.15)
pigr,48,0.27 (-0.39-1.19),0.28 (-0.38-1.43),-0.02 (-1.29-1.10),0.09 (-1.52-1.63),0.48 (0.04-0.97),0.07 (0.02-0.14)
rubl,48,0.17 (-0.74-1.01),0.27 (-1.14-1.50),0.05 (-0.66-0.83),0.17 (-0.68-2.22),0.45 (0.01-0.95),0.08 (0.03-0.14)
swth,46,0.29 (-1.08-1.26),0.18 (-0.70-1.42),0.02 (-0.83-1.72),0.39 (-0.52-1.45),0.54 (0.06-0.97),0.08 (0.02-0.14)
wwcr,48,0.20 (-1.05-1.24),0.29 (-0.93-2.11),0.03 (-0.82-1.79),0.12 (-2.65-1.25),0.44 (0.02-0.91),0.08 (0.04-0.14)
caribou,30,0.01 (-0.53-0.72),0.32 (-0.82-1.60),0.05 (-1.16-0.89),0.08 (-1.43-1.18),0.42 (-0.11-0.96),0.07 (0.01-0.12)
